제목,글쓴이,시간
Forbidden King,By: Laura Pavlov,Length: 9 hrs and 6 mins
False Start,By: Kandi Steiner,Length: 10 hrs and 59 mins
"Rise of the Weakest Summoner, Volume IX",By: J.R. Saileri,Length: 19 hrs
When Ben Loved Tim,By: Jay Bell,Length: 13 hrs and 7 mins
The Crimson Chase,By: Cap Daniels,Length: 9 hrs and 8 mins
God of War,By: Rina Kent,Length: 15 hrs
The Knight,By: Will Wight,Length: 9 hrs and 48 mins
The Forever War,By: Nick Bryant,Length: 12 hrs and 31 mins
I Can't Even,By: Lani Lynn Vale,Length: 6 hrs and 26 mins
Engineering Management for the Rest of Us,By: Sarah Drasner,Length: 5 hrs and 41 mins
Sylver Seeker 4,By: Kennit Kenway,Length: 20 hrs and 50 mins
Defiance of the Fall 13,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 35 mins
Indaria,By: SunriseCV,Length: 13 hrs and 57 mins
He Who Fights with Monsters 11: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 36 mins
My Dark Beast,By: Olivia Wildenstein,Length: 18 hrs and 17 mins
Bloodline: The Root of All Evil,By: ThinkTwice,Length: 22 hrs and 48 mins
Source Code,By: Bill Gates,Length: 11 hrs
Viper,By: Suzanne Wright,Length: 10 hrs
How Leaders Learn,"By: David Novak, Lari Bishop - contributor",Length: 7 hrs
Enemy A(n)t the Gates,By: RinoZ,Length: 20 hrs and 49 mins
