제목,글쓴이,시간
A Scion's Duty,By: Tom Elliot,Length: 16 hrs and 43 mins
Indaria,By: SunriseCV,Length: 13 hrs and 57 mins
Horror Movie,By: Paul Tremblay,Length: 7 hrs and 23 mins
Alpha,By: Aleron Kong,Length: 13 hrs and 26 mins
The Knight,By: Will Wight,Length: 9 hrs and 48 mins
24690,"By: A. A. Dark, Alaska Angelini",Length: 10 hrs and 2 mins
God of War,By: Rina Kent,Length: 15 hrs
Enemy A(n)t the Gates,By: RinoZ,Length: 20 hrs and 49 mins
Trails and Tribulations,By: Susie Chan,Length: 8 hrs and 26 mins
"Moonlight, Marshmallows, & Manslaughter",By: Tonya Kappes,Length: 4 hrs and 56 mins
Mythos University: Book 2,By: Alan Moria,Length: 11 hrs and 33 mins
In the Still of the Night,By: Melinda Mullet,Length: 8 hrs and 10 mins
The Proximity Factor,By: Jennifer Peel,Length: 9 hrs and 1 min
Building Your Money Machine,By: Mel H. Abraham,Length: 6 hrs and 42 mins
Not in Love,By: Ali Hazelwood,Length: 11 hrs and 55 mins
The Witch of Webs,By: pirateaba,Length: 45 hrs and 53 mins
The Hunter's Code,"By: Yuri Vinokuroff, Oleg Sapphire, Alix Merlin Williamson - translator",Length: 10 hrs and 18 mins
Sylver Seeker 4,By: Kennit Kenway,Length: 20 hrs and 50 mins
Ambassador for Mars,By: Glynn Stewart,Length: 10 hrs and 33 mins
Amazon Apocalypse 2,By: Marvin Knight,Length: 25 hrs and 35 mins
A Talent for Murder,By: Peter Swanson,Length: 8 hrs and 24 mins
How Leaders Learn,"By: David Novak, Lari Bishop - contributor",Length: 7 hrs
Trials of Conviction,By: T. A. White,Length: 18 hrs and 5 mins
Redeemed,By: Lauren Asher,Length: 11 hrs and 28 mins
Dangerous Innocence,By: Cora Reilly,Length: 12 hrs and 52 mins
Million Dollar Action,By: Rachel Rodgers,Length: 3 hrs and 17 mins
Mob Sorcery 2,By: K.D. Robertson,Length: 15 hrs and 52 mins
Will Leave the Galaxy for Good,By: Yahtzee Croshaw,Length: 9 hrs and 50 mins
The Adversary,"By: Torsten Weitze, Tim Casey - translator",Length: 22 hrs and 44 mins
Defiance of the Fall 13,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 35 mins
